freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.0026,0,1,0,0.94,3.5937,0
1,0.0026,0,1,0,1.07,3.6185,0
1,0.0026,0,1,0,1.2,3.6297,0
1,0.0026,0,1,0,1.33,3.6468,0
1,0.0026,0,1,0,1.46,3.6618,0
1,0.0026,0,1,0,1.59,3.6678,0
1,0.0026,0,1,0,1.72,3.6751,0
1,0.0026,0,1,0,1.85,3.6619,0
1,0.0026,0,1,0,1.98,3.6976,0
1,0.0026,0,1,0,2.11,3.7127,0
1,0.0026,0,1,0,2.24,3.7102,0
1,0.0026,0,1,0,2.37,3.7149,0
1,0.0026,0,1,0,2.5,3.7086,0
1,0.0025,0,1,0,-4,3.8817,0
1,0.0025,0,1,0,-3.87,3.8762,0
1,0.0025,0,1,0,-3.74,3.8438,0
1,0.0025,0,1,0,-3.61,3.8568,0
1,0.0025,0,1,0,-3.48,3.8383,0
1,0.0025,0,1,0,-3.35,3.8562,0
1,0.0025,0,1,0,-3.22,3.8296,0
1,0.0025,0,1,0,-3.09,3.8233,0
1,0.0025,0,1,0,-2.96,3.8121,0
1,0.0025,0,1,0,-2.83,3.8198,0
1,0.0025,0,1,0,-2.7,3.7927,0
1,0.0025,0,1,0,-2.57,3.7665,0
1,0.0025,0,1,0,-2.44,3.7357,0
1,0.0025,0,1,0,-2.31,3.7394,0
1,0.0025,0,1,0,-2.18,3.716,0
1,0.0025,0,1,0,-2.05,3.6375,0
1,0.0025,0,1,0,-1.92,3.5973,0
1,0.0025,0,1,0,-1.79,3.5229,0
1,0.0025,0,1,0,-1.66,3.3987,0
1,0.0025,0,1,0,-1.53,3.2222,0
1,0.0025,0,1,0,-1.4,2.8362,0
1,0.0025,0,1,0,-1.27,2.2203,0
1,0.0025,0,1,0,-1.14,1.4769,0
1,0.0025,0,1,0,-1.01,1.229,0
1,0.0025,0,1,0,-0.88,0.9949,0
1,0.0025,0,1,0,-0.75,0.9502,0
1,0.0025,0,1,0,-0.62,1.2295,0
1,0.0025,0,1,0,-0.49,1.9578,0
1,0.0025,0,1,0,-0.36,2.8172,0
1,0.0025,0,1,0,-0.23,3.1998,0
1,0.0025,0,1,0,-0.1,3.3767,0
1,0.0025,0,1,0,0.03,3.4819,0
1,0.0025,0,1,0,0.16,3.5743,0
1,0.0025,0,1,0,0.29,3.6117,0
1,0.0025,0,1,0,0.42,3.656,0
1,0.0025,0,1,0,0.55,3.6783,0
1,0.0025,0,1,0,0.68,3.7102,0
1,0.0025,0,1,0,0.81,3.7026,0
1,0.0025,0,1,0,0.94,3.7528,0
1,0.0025,0,1,0,1.07,3.7552,0
1,0.0025,0,1,0,1.2,3.758,0
1,0.0025,0,1,0,1.33,3.7476,0
1,0.0025,0,1,0,1.46,3.7795,0
1,0.0025,0,1,0,1.59,3.7836,0
1,0.0025,0,1,0,1.72,3.785,0
1,0.0025,0,1,0,1.85,3.8086,0
1,0.0025,0,1,0,1.98,3.8208,0
1,0.0025,0,1,0,2.11,3.7914,0
1,0.0025,0,1,0,2.24,3.8175,0
1,0.0025,0,1,0,2.37,3.8233,0
1,0.0025,0,1,0,2.5,3.8252,0
1,0.005,0,1,1,-4,8.383,0
1,0.005,0,1,1,-3.87,8.3962,0
1,0.005,0,1,1,-3.74,8.3748,0
1,0.005,0,1,1,-3.61,8.381,0
1,0.005,0,1,1,-3.48,8.3473,0
1,0.005,0,1,1,-3.35,8.3485,0
1,0.005,0,1,1,-3.22,8.2998,0
1,0.005,0,1,1,-3.09,8.2845,0
1,0.005,0,1,1,-2.96,8.2865,0
1,0.005,0,1,1,-2.83,8.1972,0
1,0.005,0,1,1,-2.7,8.2146,0
1,0.005,0,1,1,-2.57,8.1689,0
1,0.005,0,1,1,-2.44,8.1651,0
1,0.005,0,1,1,-2.31,8.1353,0
1,0.005,0,1,1,-2.18,8.092,0
1,0.005,0,1,1,-2.05,8.014,0
1,0.005,0,1,1,-1.92,7.9012,0
1,0.005,0,1,1,-1.79,7.7559,0
1,0.005,0,1,1,-1.66,7.6137,0
1,0.005,0,1,1,-1.53,7.4127,0
1,0.005,0,1,1,-1.4,6.9543,0
1,0.005,0,1,1,-1.27,6.0699,0
1,0.005,0,1,1,-1.14,4.4945,0
1,0.005,0,1,1,-1.01,2.7182,0
1,0.005,0,1,1,-0.88,2.1095,0
1,0.005,0,1,1,-0.75,1.6442,0
1,0.005,0,1,1,-0.62,1.8044,0
1,0.005,0,1,1,-0.49,2.695,0
1,0.005,0,1,1,-0.36,5.2064,0
1,0.005,0,1,1,-0.23,6.5746,0
1,0.005,0,1,1,-0.1,7.1871,0
1,0.005,0,1,1,0.03,7.4333,0
1,0.005,0,1,1,0.16,7.6282,0
1,0.005,0,1,1,0.29,7.775,0
1,0.005,0,1,1,0.42,7.8275,0
1,0.005,0,1,1,0.55,7.9261,0
