freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.0026,0,0,0,-2.44,4.4355,0.0000
1,0.0026,0,0,0,-2.31,4.4053,0.0000
1,0.0026,0,0,0,-2.18,4.3735,0.0000
1,0.0026,0,0,0,-2.05,4.3198,0.0000
1,0.0026,0,0,0,-1.92,4.2600,0.0000
1,0.0026,0,0,0,-1.79,4.1662,0.0000
1,0.0026,0,0,0,-1.66,4.0482,0.0000
1,0.0026,0,0,0,-1.53,3.8041,0.0000
1,0.0026,0,0,0,-1.40,3.4042,0.0000
1,0.0026,0,0,0,-1.27,2.7129,0.0000
1,0.0026,0,0,0,-1.14,1.7906,0.0000
1,0.0026,0,0,0,-1.01,1.2962,0.0000
1,0.0026,0,0,0,-0.88,0.9676,0.0000
1,0.0026,0,0,0,-0.75,0.8447,0.0000
1,0.0026,0,0,0,-0.62,0.9865,0.0000
1,0.0026,0,0,0,-0.49,1.8569,0.0000
1,0.0026,0,0,0,-0.36,3.0529,0.0000
1,0.0026,0,0,0,-0.23,3.4759,0.0000
1,0.0026,0,0,0,-0.10,3.6722,0.0000
1,0.0026,0,0,0,0.03,3.7562,0.0000
1,0.0026,0,0,0,0.16,3.8371,0.0000
1,0.0026,0,0,0,0.29,3.8808,0.0000
1,0.0026,0,0,0,0.42,3.9540,0.0000
1,0.0026,0,0,0,0.55,3.9980,0.0000
1,0.0026,0,0,0,0.68,4.0222,0.0000
1,0.0026,0,0,0,0.81,4.0327,0.0000
1,0.0026,0,0,0,0.94,4.0803,0.0000
1,0.0026,0,0,0,1.07,4.0850,0.0000
1,0.0026,0,0,0,1.20,4.0965,0.0000
1,0.0026,0,0,0,1.33,4.1255,0.0000
1,0.0026,0,0,0,1.46,4.1461,0.0000
1,0.0026,0,0,0,1.59,4.1561,0.0000
1,0.0026,0,0,0,1.72,4.1715,0.0000
1,0.0026,0,0,0,1.85,4.1957,0.0000
1,0.0026,0,0,0,1.98,4.1858,0.0000
1,0.0026,0,0,0,2.11,4.1953,0.0000
1,0.0026,0,0,0,2.24,4.2181,0.0000
1,0.0026,0,0,0,2.37,4.2258,0.0000
1,0.0026,0,0,0,2.50,4.2548,0.0000
1,0.0025,0,0,0,-4.00,4.7716,0.0000
1,0.0025,0,0,0,-3.87,4.7575,0.0000
1,0.0025,0,0,0,-3.74,4.7500,0.0000
1,0.0025,0,0,0,-3.61,4.7623,0.0000
1,0.0025,0,0,0,-3.48,4.7467,0.0000
1,0.0025,0,0,0,-3.35,4.7428,0.0000
1,0.0025,0,0,0,-3.22,4.7156,0.0000
1,0.0025,0,0,0,-3.09,4.7108,0.0000
1,0.0025,0,0,0,-2.96,4.7114,0.0000
1,0.0025,0,0,0,-2.83,4.6972,0.0000
1,0.0025,0,0,0,-2.70,4.6772,0.0000
1,0.0025,0,0,0,-2.57,4.6680,0.0000
1,0.0025,0,0,0,-2.44,4.6283,0.0000
1,0.0025,0,0,0,-2.31,4.6321,0.0000
1,0.0025,0,0,0,-2.18,4.5805,0.0000
1,0.0025,0,0,0,-2.05,4.5358,0.0000
1,0.0025,0,0,0,-1.92,4.4679,0.0000
1,0.0025,0,0,0,-1.79,4.3759,0.0000
1,0.0025,0,0,0,-1.66,4.2644,0.0000
1,0.0025,0,0,0,-1.53,4.0768,0.0000
1,0.0025,0,0,0,-1.40,3.7327,0.0000
1,0.0025,0,0,0,-1.27,3.0678,0.0000
1,0.0025,0,0,0,-1.14,2.0656,0.0000
1,0.0025,0,0,0,-1.01,1.3757,0.0000
1,0.0025,0,0,0,-0.88,1.1070,0.0000
1,0.0025,0,0,0,-0.75,0.8525,0.0000
1,0.0025,0,0,0,-0.62,1.0164,0.0000
1,0.0025,0,0,0,-0.49,1.5207,0.0000
1,0.0025,0,0,0,-0.36,2.8503,0.0000
1,0.0025,0,0,0,-0.23,3.4488,0.0000
1,0.0025,0,0,0,-0.10,3.6961,0.0000
1,0.0025,0,0,0,0.03,3.8377,0.0000
1,0.0025,0,0,0,0.16,3.9279,0.0000
1,0.0025,0,0,0,0.29,3.9839,0.0000
1,0.0025,0,0,0,0.42,4.0238,0.0000
1,0.0025,0,0,0,0.55,4.1003,0.0000
1,0.0025,0,0,0,0.68,4.1397,0.0000
1,0.0025,0,0,0,0.81,4.1581,0.0000
1,0.0025,0,0,0,0.94,4.1906,0.0000
1,0.0025,0,0,0,1.07,4.2165,0.0000
1,0.0025,0,0,0,1.20,4.2441,0.0000
1,0.0025,0,0,0,1.33,4.2579,0.0000
1,0.0025,0,0,0,1.46,4.2885,0.0000
1,0.0025,0,0,0,1.59,4.2925,0.0000
1,0.0025,0,0,0,1.72,4.3014,0.0000
1,0.0025,0,0,0,1.85,4.3035,0.0000
1,0.0025,0,0,0,1.98,4.3543,0.0000
1,0.0025,0,0,0,2.11,4.3360,0.0000
1,0.0025,0,0,0,2.24,4.3661,0.0000
1,0.0025,0,0,0,2.37,4.3622,0.0000
1,0.0025,0,0,0,2.50,4.3728,0.0000
1,0.0050,0,0,1,-4.00,9.4159,0.0000
1,0.0050,0,0,1,-3.87,9.4179,0.0000
1,0.0050,0,0,1,-3.74,9.4310,0.0000
1,0.0050,0,0,1,-3.61,9.3981,0.0000
1,0.0050,0,0,1,-3.48,9.3694,0.0000
1,0.0050,0,0,1,-3.35,9.3128,0.0000
1,0.0050,0,0,1,-3.22,9.3443,0.0000
1,0.0050,0,0,1,-3.09,9.3384,0.0000
1,0.0050,0,0,1,-2.96,9.2810,0.0000
1,0.0050,0,0,1,-2.83,9.2033,0.0000
1,0.0050,0,0,1,-2.70,9.2285,0.0000
1,0.0050,0,0,1,-2.57,9.1897,0.0000
1,0.0050,0,0,1,-2.44,9.1220,0.0000
1,0.0050,0,0,1,-2.31,9.0224,0.0000
1,0.0050,0,0,1,-2.18,8.9440,0.0000
1,0.0050,0,0,1,-2.05,8.7989,0.0000
1,0.0050,0,0,1,-1.92,8.6662,0.0000
1,0.0050,0,0,1,-1.79,8.4241,0.0000
1,0.0050,0,0,1,-1.66,8.0258,0.0000
1,0.0050,0,0,1,-1.53,7.3490,0.0000
1,0.0050,0,0,1,-1.40,5.9712,0.0000
1,0.0050,0,0,1,-1.27,3.9261,0.0000
1,0.0050,0,0,1,-1.14,2.5606,0.0000
1,0.0050,0,0,1,-1.01,2.0027,0.0000
1,0.0050,0,0,1,-0.88,1.5201,0.0000
1,0.0050,0,0,1,-0.75,1.8524,0.0000
1,0.0050,0,0,1,-0.62,3.9066,0.0000
1,0.0050,0,0,1,-0.49,6.5997,0.0000
1,0.0050,0,0,1,-0.36,7.5436,0.0000
1,0.0050,0,0,1,-0.23,7.9618,0.0000
1,0.0050,0,0,1,-0.10,8.2755,0.0000
1,0.0050,0,0,1,0.03,8.4599,0.0000
1,0.0050,0,0,1,0.16,8.6026,0.0000
1,0.0050,0,0,1,0.29,8.6691,0.0000
1,0.0050,0,0,1,0.42,8.8041,0.0000
1,0.0050,0,0,1,0.55,8.8250,0.0000
1,0.0050,0,0,1,0.68,8.8954,0.0000
1,0.0050,0,0,1,0.81,8.9076,0.0000
1,0.0050,0,0,1,0.94,8.9875,0.0000
1,0.0050,0,0,1,1.07,9.0542,0.0000
1,0.0050,0,0,1,1.20,9.0372,0.0000
1,0.0050,0,0,1,1.33,9.0693,0.0000
1,0.0050,0,0,1,1.46,9.0626,0.0000
1,0.0050,0,0,1,1.59,9.0821,0.0000
1,0.0050,0,0,1,1.72,9.1216,0.0000
1,0.0050,0,0,1,1.85,9.1778,0.0000
1,0.0050,0,0,1,1.98,9.1861,0.0000
1,0.0050,0,0,1,2.11,9.1066,0.0000
1,0.0050,0,0,1,2.24,9.2409,0.0000
1,0.0050,0,0,1,2.37,9.1995,0.0000
1,0.0050,0,0,1,2.50,9.1987,0.0000
1,0.0049,0,0,1,-4.00,9.3204,0.0000
1,0.0049,0,0,1,-3.87,9.3152,0.0000
1,0.0049,0,0,1,-3.74,9.2478,0.0000
1,0.0049,0,0,1,-3.61,9.2640,0.0000
1,0.0049,0,0,1,-3.48,9.1989,0.0000
1,0.0049,0,0,1,-3.35,9.2333,0.0000
1,0.0049,0,0,1,-3.22,9.2196,0.0000
